,encoding,snr,received
0,BPSK 1/2,0.0,0.0
1,BPSK 1/2,0.5,0.0
2,BPSK 1/2,1.0,0.0
3,BPSK 1/2,1.5,0.0
4,BPSK 1/2,2.0,0.0
5,BPSK 1/2,2.5,0.0
6,BPSK 1/2,3.0,0.0
7,BPSK 1/2,3.5,0.0
8,BPSK 1/2,4.0,0.0
9,BPSK 1/2,4.5,0.0
10,BPSK 1/2,5.0,0.0
11,BPSK 1/2,5.5,0.0
12,BPSK 1/2,6.0,0.0
13,BPSK 1/2,6.5,0.0
14,BPSK 1/2,7.0,0.0
15,BPSK 1/2,7.5,0.0
16,BPSK 1/2,8.0,0.0
17,BPSK 1/2,8.5,0.0
18,BPSK 1/2,9.0,0.0
19,BPSK 1/2,9.5,0.0
20,BPSK 1/2,10.0,0.0
21,BPSK 1/2,10.5,0.0
22,BPSK 1/2,11.0,0.0
23,BPSK 1/2,11.5,0.0
24,BPSK 1/2,12.0,0.0
25,BPSK 1/2,12.5,0.0
26,BPSK 1/2,13.0,0.0
27,BPSK 1/2,13.5,0.0
28,BPSK 1/2,14.0,0.0
29,BPSK 1/2,14.5,0.0
30,BPSK 1/2,15.0,0.0
31,BPSK 1/2,15.5,0.0
32,BPSK 1/2,16.0,0.0
33,BPSK 1/2,16.5,0.0
34,BPSK 1/2,17.0,0.0
35,BPSK 1/2,17.5,0.0
36,BPSK 1/2,18.0,0.0
37,BPSK 1/2,18.5,0.0
38,BPSK 1/2,19.0,0.0
39,BPSK 1/2,19.5,0.0
40,BPSK 1/2,20.0,0.0
41,BPSK 1/2,20.5,0.0
42,BPSK 1/2,21.0,0.0
43,BPSK 1/2,21.5,0.0
44,BPSK 1/2,22.0,0.0
45,BPSK 1/2,22.5,0.0
46,BPSK 1/2,23.0,0.0
47,BPSK 1/2,23.5,0.0
48,BPSK 1/2,24.0,0.0
49,BPSK 1/2,24.5,0.0
50,BPSK 1/2,25.0,0.0
51,BPSK 1/2,25.5,0.0
52,BPSK 1/2,26.0,0.0
53,BPSK 1/2,26.5,0.0
54,BPSK 1/2,27.0,0.0
55,BPSK 1/2,27.5,0.0
56,BPSK 1/2,28.0,0.0
57,BPSK 1/2,28.5,0.0
58,BPSK 1/2,29.0,0.0
59,BPSK 1/2,29.5,0.0
60,BPSK 3/4,0.0,29.5
61,BPSK 3/4,0.5,34.2
62,BPSK 3/4,1.0,39.3
63,BPSK 3/4,1.5,42.6
64,BPSK 3/4,2.0,45.2
65,BPSK 3/4,2.5,48.4
66,BPSK 3/4,3.0,53.7
67,BPSK 3/4,3.5,56.2
68,BPSK 3/4,4.0,58.0
69,BPSK 3/4,4.5,59.2
70,BPSK 3/4,5.0,60.6
71,BPSK 3/4,5.5,62.3
72,BPSK 3/4,6.0,62.8
73,BPSK 3/4,6.5,64.3
74,BPSK 3/4,7.0,65.5
75,BPSK 3/4,7.5,66.2
76,BPSK 3/4,8.0,66.6
77,BPSK 3/4,8.5,67.0
78,BPSK 3/4,9.0,67.2
79,BPSK 3/4,9.5,68.1
80,BPSK 3/4,10.0,67.7
81,BPSK 3/4,10.5,67.6
82,BPSK 3/4,11.0,68.4
83,BPSK 3/4,11.5,68.7
84,BPSK 3/4,12.0,69.1
85,BPSK 3/4,12.5,69.4
86,BPSK 3/4,13.0,70.5
87,BPSK 3/4,13.5,70.3
88,BPSK 3/4,14.0,70.3
89,BPSK 3/4,14.5,70.5
90,BPSK 3/4,15.0,70.3
91,BPSK 3/4,15.5,70.2
92,BPSK 3/4,16.0,70.1
93,BPSK 3/4,16.5,69.8
94,BPSK 3/4,17.0,69.9
95,BPSK 3/4,17.5,69.9
96,BPSK 3/4,18.0,70.2
97,BPSK 3/4,18.5,70.3
98,BPSK 3/4,19.0,70.4
99,BPSK 3/4,19.5,70.3
100,BPSK 3/4,20.0,70.6
101,BPSK 3/4,20.5,69.5
102,BPSK 3/4,21.0,69.6
103,BPSK 3/4,21.5,69.9
104,BPSK 3/4,22.0,70.0
105,BPSK 3/4,22.5,69.9
106,BPSK 3/4,23.0,70.1
107,BPSK 3/4,23.5,70.0
108,BPSK 3/4,24.0,70.0
109,BPSK 3/4,24.5,69.9
110,BPSK 3/4,25.0,69.9
111,BPSK 3/4,25.5,69.8
112,BPSK 3/4,26.0,69.8
113,BPSK 3/4,26.5,69.8
114,BPSK 3/4,27.0,69.7
115,BPSK 3/4,27.5,69.7
116,BPSK 3/4,28.0,69.7
117,BPSK 3/4,28.5,69.7
118,BPSK 3/4,29.0,69.7
119,BPSK 3/4,29.5,69.7
120,QPSK 1/2,0.0,0.1
121,QPSK 1/2,0.5,0.1
122,QPSK 1/2,1.0,0.2
123,QPSK 1/2,1.5,0.1
124,QPSK 1/2,2.0,0.1
125,QPSK 1/2,2.5,0.0
126,QPSK 1/2,3.0,0.0
127,QPSK 1/2,3.5,0.0
128,QPSK 1/2,4.0,0.0
129,QPSK 1/2,4.5,0.0
130,QPSK 1/2,5.0,0.0
131,QPSK 1/2,5.5,0.0
132,QPSK 1/2,6.0,0.0
133,QPSK 1/2,6.5,0.0
134,QPSK 1/2,7.0,0.0
135,QPSK 1/2,7.5,0.0
136,QPSK 1/2,8.0,0.0
137,QPSK 1/2,8.5,0.0
138,QPSK 1/2,9.0,0.0
139,QPSK 1/2,9.5,0.0
140,QPSK 1/2,10.0,0.0
141,QPSK 1/2,10.5,0.0
142,QPSK 1/2,11.0,0.0
143,QPSK 1/2,11.5,0.0
144,QPSK 1/2,12.0,0.0
145,QPSK 1/2,12.5,0.0
146,QPSK 1/2,13.0,0.0
147,QPSK 1/2,13.5,0.0
148,QPSK 1/2,14.0,0.0
149,QPSK 1/2,14.5,0.0
150,QPSK 1/2,15.0,0.0
151,QPSK 1/2,15.5,0.0
152,QPSK 1/2,16.0,0.0
153,QPSK 1/2,16.5,0.0
154,QPSK 1/2,17.0,0.0
155,QPSK 1/2,17.5,0.0
156,QPSK 1/2,18.0,0.0
157,QPSK 1/2,18.5,0.0
158,QPSK 1/2,19.0,0.0
159,QPSK 1/2,19.5,0.0
160,QPSK 1/2,20.0,0.0
161,QPSK 1/2,20.5,0.0
162,QPSK 1/2,21.0,0.0
163,QPSK 1/2,21.5,0.0
164,QPSK 1/2,22.0,0.0
165,QPSK 1/2,22.5,0.0
166,QPSK 1/2,23.0,0.0
167,QPSK 1/2,23.5,0.0
168,QPSK 1/2,24.0,0.0
169,QPSK 1/2,24.5,0.0
170,QPSK 1/2,25.0,0.0
171,QPSK 1/2,25.5,0.0
172,QPSK 1/2,26.0,0.0
173,QPSK 1/2,26.5,0.0
174,QPSK 1/2,27.0,0.0
175,QPSK 1/2,27.5,0.0
176,QPSK 1/2,28.0,0.0
177,QPSK 1/2,28.5,0.0
178,QPSK 1/2,29.0,0.0
179,QPSK 1/2,29.5,0.0
180,QPSK 3/4,0.0,1.3
181,QPSK 3/4,0.5,2.7
182,QPSK 3/4,1.0,4.7
183,QPSK 3/4,1.5,7.9
184,QPSK 3/4,2.0,10.8
185,QPSK 3/4,2.5,12.7
186,QPSK 3/4,3.0,16.6
187,QPSK 3/4,3.5,22.5
188,QPSK 3/4,4.0,26.9
189,QPSK 3/4,4.5,30.4
190,QPSK 3/4,5.0,34.3
191,QPSK 3/4,5.5,37.3
192,QPSK 3/4,6.0,41.9
193,QPSK 3/4,6.5,44.2
194,QPSK 3/4,7.0,45.6
195,QPSK 3/4,7.5,47.5
196,QPSK 3/4,8.0,49.2
197,QPSK 3/4,8.5,50.6
198,QPSK 3/4,9.0,51.2
199,QPSK 3/4,9.5,51.8
200,QPSK 3/4,10.0,52.9
201,QPSK 3/4,10.5,53.4
202,QPSK 3/4,11.0,54.1
203,QPSK 3/4,11.5,54.6
204,QPSK 3/4,12.0,54.5
205,QPSK 3/4,12.5,55.0
206,QPSK 3/4,13.0,55.0
207,QPSK 3/4,13.5,54.7
208,QPSK 3/4,14.0,54.7
209,QPSK 3/4,14.5,54.6
210,QPSK 3/4,15.0,54.7
211,QPSK 3/4,15.5,54.7
212,QPSK 3/4,16.0,54.9
213,QPSK 3/4,16.5,54.6
214,QPSK 3/4,17.0,54.7
215,QPSK 3/4,17.5,54.2
216,QPSK 3/4,18.0,54.2
217,QPSK 3/4,18.5,53.9
218,QPSK 3/4,19.0,53.6
219,QPSK 3/4,19.5,53.9
220,QPSK 3/4,20.0,53.8
221,QPSK 3/4,20.5,53.7
222,QPSK 3/4,21.0,53.6
223,QPSK 3/4,21.5,54.1
224,QPSK 3/4,22.0,54.0
225,QPSK 3/4,22.5,54.4
226,QPSK 3/4,23.0,54.6
227,QPSK 3/4,23.5,54.8
228,QPSK 3/4,24.0,54.7
229,QPSK 3/4,24.5,54.9
230,QPSK 3/4,25.0,55.0
231,QPSK 3/4,25.5,55.1
232,QPSK 3/4,26.0,55.2
233,QPSK 3/4,26.5,55.4
234,QPSK 3/4,27.0,55.4
235,QPSK 3/4,27.5,55.3
236,QPSK 3/4,28.0,55.4
237,QPSK 3/4,28.5,55.5
238,QPSK 3/4,29.0,55.4
239,QPSK 3/4,29.5,55.4
240,16-QAM 1/2,0.0,0.0
241,16-QAM 1/2,0.5,0.1
242,16-QAM 1/2,1.0,0.0
243,16-QAM 1/2,1.5,0.0
244,16-QAM 1/2,2.0,0.3
245,16-QAM 1/2,2.5,0.5
246,16-QAM 1/2,3.0,1.3
247,16-QAM 1/2,3.5,1.5
248,16-QAM 1/2,4.0,2.0
249,16-QAM 1/2,4.5,3.2
250,16-QAM 1/2,5.0,3.4
251,16-QAM 1/2,5.5,4.4
252,16-QAM 1/2,6.0,5.4
253,16-QAM 1/2,6.5,6.2
254,16-QAM 1/2,7.0,7.0
255,16-QAM 1/2,7.5,8.1
256,16-QAM 1/2,8.0,8.7
257,16-QAM 1/2,8.5,9.3
258,16-QAM 1/2,9.0,8.8
259,16-QAM 1/2,9.5,9.6
260,16-QAM 1/2,10.0,10.1
261,16-QAM 1/2,10.5,11.0
262,16-QAM 1/2,11.0,11.3
263,16-QAM 1/2,11.5,12.0
264,16-QAM 1/2,12.0,11.8
265,16-QAM 1/2,12.5,12.4
266,16-QAM 1/2,13.0,12.9
267,16-QAM 1/2,13.5,13.5
268,16-QAM 1/2,14.0,13.2
269,16-QAM 1/2,14.5,13.0
270,16-QAM 1/2,15.0,13.4
271,16-QAM 1/2,15.5,13.7
272,16-QAM 1/2,16.0,13.2
273,16-QAM 1/2,16.5,13.8
274,16-QAM 1/2,17.0,14.4
275,16-QAM 1/2,17.5,14.7
276,16-QAM 1/2,18.0,14.5
277,16-QAM 1/2,18.5,14.4
278,16-QAM 1/2,19.0,14.7
279,16-QAM 1/2,19.5,14.4
280,16-QAM 1/2,20.0,14.5
281,16-QAM 1/2,20.5,14.3
282,16-QAM 1/2,21.0,14.4
283,16-QAM 1/2,21.5,14.6
284,16-QAM 1/2,22.0,14.9
285,16-QAM 1/2,22.5,14.6
286,16-QAM 1/2,23.0,14.8
287,16-QAM 1/2,23.5,14.8
288,16-QAM 1/2,24.0,14.8
289,16-QAM 1/2,24.5,14.7
290,16-QAM 1/2,25.0,14.5
291,16-QAM 1/2,25.5,14.2
292,16-QAM 1/2,26.0,14.1
293,16-QAM 1/2,26.5,14.4
294,16-QAM 1/2,27.0,14.4
295,16-QAM 1/2,27.5,14.3
296,16-QAM 1/2,28.0,14.2
297,16-QAM 1/2,28.5,14.2
298,16-QAM 1/2,29.0,14.1
299,16-QAM 1/2,29.5,14.4
300,16-QAM 3/4,0.0,0.0
301,16-QAM 3/4,0.5,0.0
302,16-QAM 3/4,1.0,0.0
303,16-QAM 3/4,1.5,0.0
304,16-QAM 3/4,2.0,0.0
305,16-QAM 3/4,2.5,0.0
306,16-QAM 3/4,3.0,0.0
307,16-QAM 3/4,3.5,0.0
308,16-QAM 3/4,4.0,0.0
309,16-QAM 3/4,4.5,0.0
310,16-QAM 3/4,5.0,0.0
311,16-QAM 3/4,5.5,0.2
312,16-QAM 3/4,6.0,0.4
313,16-QAM 3/4,6.5,0.5
314,16-QAM 3/4,7.0,0.6
315,16-QAM 3/4,7.5,1.2
316,16-QAM 3/4,8.0,2.0
317,16-QAM 3/4,8.5,2.8
318,16-QAM 3/4,9.0,3.5
319,16-QAM 3/4,9.5,4.2
320,16-QAM 3/4,10.0,4.8
321,16-QAM 3/4,10.5,5.6
322,16-QAM 3/4,11.0,6.4
323,16-QAM 3/4,11.5,7.0
324,16-QAM 3/4,12.0,7.6
325,16-QAM 3/4,12.5,8.3
326,16-QAM 3/4,13.0,9.0
327,16-QAM 3/4,13.5,9.1
328,16-QAM 3/4,14.0,9.3
329,16-QAM 3/4,14.5,9.6
330,16-QAM 3/4,15.0,10.2
331,16-QAM 3/4,15.5,10.3
332,16-QAM 3/4,16.0,10.6
333,16-QAM 3/4,16.5,11.5
334,16-QAM 3/4,17.0,11.5
335,16-QAM 3/4,17.5,12.1
336,16-QAM 3/4,18.0,12.0
337,16-QAM 3/4,18.5,12.6
338,16-QAM 3/4,19.0,13.2
339,16-QAM 3/4,19.5,13.5
340,16-QAM 3/4,20.0,13.3
341,16-QAM 3/4,20.5,13.8
342,16-QAM 3/4,21.0,14.0
343,16-QAM 3/4,21.5,14.1
344,16-QAM 3/4,22.0,14.2
345,16-QAM 3/4,22.5,14.2
346,16-QAM 3/4,23.0,14.3
347,16-QAM 3/4,23.5,14.5
348,16-QAM 3/4,24.0,14.3
349,16-QAM 3/4,24.5,14.1
350,16-QAM 3/4,25.0,14.1
351,16-QAM 3/4,25.5,14.4
352,16-QAM 3/4,26.0,14.5
353,16-QAM 3/4,26.5,14.5
354,16-QAM 3/4,27.0,14.3
355,16-QAM 3/4,27.5,14.5
356,16-QAM 3/4,28.0,14.7
357,16-QAM 3/4,28.5,14.6
358,16-QAM 3/4,29.0,14.9
359,16-QAM 3/4,29.5,15.0
360,64-QAM 2/3,0.0,0.0
361,64-QAM 2/3,0.5,0.0
362,64-QAM 2/3,1.0,0.0
363,64-QAM 2/3,1.5,0.0
364,64-QAM 2/3,2.0,0.0
365,64-QAM 2/3,2.5,0.0
366,64-QAM 2/3,3.0,0.0
367,64-QAM 2/3,3.5,0.0
368,64-QAM 2/3,4.0,0.0
369,64-QAM 2/3,4.5,0.0
370,64-QAM 2/3,5.0,0.0
371,64-QAM 2/3,5.5,0.0
372,64-QAM 2/3,6.0,0.0
373,64-QAM 2/3,6.5,0.0
374,64-QAM 2/3,7.0,0.0
375,64-QAM 2/3,7.5,0.0
376,64-QAM 2/3,8.0,0.0
377,64-QAM 2/3,8.5,0.0
378,64-QAM 2/3,9.0,0.0
379,64-QAM 2/3,9.5,0.0
380,64-QAM 2/3,10.0,0.0
381,64-QAM 2/3,10.5,0.0
382,64-QAM 2/3,11.0,0.0
383,64-QAM 2/3,11.5,0.0
384,64-QAM 2/3,12.0,0.0
385,64-QAM 2/3,12.5,0.0
386,64-QAM 2/3,13.0,0.0
387,64-QAM 2/3,13.5,0.0
388,64-QAM 2/3,14.0,0.0
389,64-QAM 2/3,14.5,0.0
390,64-QAM 2/3,15.0,0.0
391,64-QAM 2/3,15.5,0.0
392,64-QAM 2/3,16.0,0.0
393,64-QAM 2/3,16.5,0.0
394,64-QAM 2/3,17.0,0.0
395,64-QAM 2/3,17.5,0.0
396,64-QAM 2/3,18.0,0.0
397,64-QAM 2/3,18.5,0.0
398,64-QAM 2/3,19.0,0.0
399,64-QAM 2/3,19.5,0.0
400,64-QAM 2/3,20.0,0.0
401,64-QAM 2/3,20.5,0.0
402,64-QAM 2/3,21.0,0.0
403,64-QAM 2/3,21.5,0.0
404,64-QAM 2/3,22.0,0.0
405,64-QAM 2/3,22.5,0.0
406,64-QAM 2/3,23.0,0.0
407,64-QAM 2/3,23.5,0.0
408,64-QAM 2/3,24.0,0.0
409,64-QAM 2/3,24.5,0.0
410,64-QAM 2/3,25.0,0.0
411,64-QAM 2/3,25.5,0.0
412,64-QAM 2/3,26.0,0.0
413,64-QAM 2/3,26.5,0.0
414,64-QAM 2/3,27.0,0.0
415,64-QAM 2/3,27.5,0.0
416,64-QAM 2/3,28.0,0.0
417,64-QAM 2/3,28.5,0.0
418,64-QAM 2/3,29.0,0.0
419,64-QAM 2/3,29.5,0.0
420,64-QAM 3/4,0.0,0.0
421,64-QAM 3/4,0.5,0.0
422,64-QAM 3/4,1.0,0.0
423,64-QAM 3/4,1.5,0.0
424,64-QAM 3/4,2.0,0.0
425,64-QAM 3/4,2.5,0.0
426,64-QAM 3/4,3.0,0.0
427,64-QAM 3/4,3.5,0.0
428,64-QAM 3/4,4.0,0.0
429,64-QAM 3/4,4.5,0.0
430,64-QAM 3/4,5.0,0.0
431,64-QAM 3/4,5.5,0.0
432,64-QAM 3/4,6.0,0.0
433,64-QAM 3/4,6.5,0.0
434,64-QAM 3/4,7.0,0.0
435,64-QAM 3/4,7.5,0.0
436,64-QAM 3/4,8.0,0.0
437,64-QAM 3/4,8.5,0.0
438,64-QAM 3/4,9.0,0.0
439,64-QAM 3/4,9.5,0.0
440,64-QAM 3/4,10.0,0.0
441,64-QAM 3/4,10.5,0.0
442,64-QAM 3/4,11.0,0.0
443,64-QAM 3/4,11.5,0.0
444,64-QAM 3/4,12.0,0.0
445,64-QAM 3/4,12.5,0.0
446,64-QAM 3/4,13.0,0.0
447,64-QAM 3/4,13.5,0.0
448,64-QAM 3/4,14.0,0.0
449,64-QAM 3/4,14.5,0.0
450,64-QAM 3/4,15.0,0.0
451,64-QAM 3/4,15.5,0.0
452,64-QAM 3/4,16.0,0.0
453,64-QAM 3/4,16.5,0.0
454,64-QAM 3/4,17.0,0.0
455,64-QAM 3/4,17.5,0.0
456,64-QAM 3/4,18.0,0.0
457,64-QAM 3/4,18.5,0.0
458,64-QAM 3/4,19.0,0.0
459,64-QAM 3/4,19.5,0.0
460,64-QAM 3/4,20.0,0.0
461,64-QAM 3/4,20.5,0.0
462,64-QAM 3/4,21.0,0.0
463,64-QAM 3/4,21.5,0.0
464,64-QAM 3/4,22.0,0.0
465,64-QAM 3/4,22.5,0.0
466,64-QAM 3/4,23.0,0.0
467,64-QAM 3/4,23.5,0.0
468,64-QAM 3/4,24.0,0.0
469,64-QAM 3/4,24.5,0.0
470,64-QAM 3/4,25.0,0.0
471,64-QAM 3/4,25.5,0.0
472,64-QAM 3/4,26.0,0.0
473,64-QAM 3/4,26.5,0.0
474,64-QAM 3/4,27.0,0.0
475,64-QAM 3/4,27.5,0.0
476,64-QAM 3/4,28.0,0.0
477,64-QAM 3/4,28.5,0.0
478,64-QAM 3/4,29.0,0.0
479,64-QAM 3/4,29.5,0.0
